MonthlyIncome,effort
15350.0,"(0.00214, 0.00287]"
3700.0,"(0.00214, 0.00287]"
7200.0,"(0.00134, 0.00214]"
2200.0,"(0.00649, 0.04]"
3875.0,"(0.000309, 0.00134]"
5866.0,"(0.00468, 0.00649]"
9266.0,"(0.00214, 0.00287]"
9300.0,"(0.00134, 0.00214]"
20000.0,"(0.00468, 0.00649]"
1500.0,"(0.000309, 0.00134]"
4750.0,"(0.00214, 0.00287]"
5500.0,"(0.00468, 0.00649]"
7500.0,"(0.00134, 0.00214]"
2700.0,"(0.00287, 0.00367]"
0.0,"(12.67, 3296.64]"
3128.0,"(0.00649, 0.04]"
7000.0,"(0.00287, 0.00367]"
3050.0,"(0.00367, 0.00468]"
5926.0,"(0.00367, 0.00468]"
3000.0,"(0.00649, 0.04]"
3600.0,"(-0.001, 0.000309]"
12000.0,"(0.00468, 0.00649]"
6000.0,"(0.00367, 0.00468]"
8750.0,"(0.00649, 0.04]"
3715.0,"(0.00468, 0.00649]"
9000.0,"(0.00214, 0.00287]"
4500.0,"(0.00287, 0.00367]"
4310.0,"(0.00214, 0.00287]"
3116.0,"(0.00468, 0.00649]"
3200.0,"(-0.001, 0.000309]"
5047.0,"(0.000309, 0.00134]"
2500.0,"(-0.001, 0.000309]"
1350.0,"(0.00649, 0.04]"
6000.0,"(0.00468, 0.00649]"
2700.0,"(0.00649, 0.04]"
5525.0,"(0.00367, 0.00468]"
6639.0,"(0.00649, 0.04]"
6833.0,"(0.00134, 0.00214]"
820.0,"(-0.001, 0.000309]"
9877.0,"(0.00367, 0.00468]"
10255.0,"(0.00287, 0.00367]"
15082.0,"(0.000309, 0.00134]"
5946.0,"(0.00468, 0.00649]"
8033.0,"(0.00367, 0.00468]"
15000.0,"(0.00214, 0.00287]"
10400.0,"(0.00134, 0.00214]"
9766.0,"(0.00214, 0.00287]"
7150.0,"(0.00468, 0.00649]"
1301.0,"(-0.001, 0.000309]"
2856.0,"(0.00468, 0.00649]"
4433.0,"(-0.001, 0.000309]"
5547.0,"(0.00214, 0.00287]"
2900.0,"(0.00287, 0.00367]"
650.0,"(0.00649, 0.04]"
2964.0,"(0.000309, 0.00134]"
3583.0,"(0.000309, 0.00134]"
6500.0,"(0.00214, 0.00287]"
7916.0,"(-0.001, 0.000309]"
3822.0,"(0.00367, 0.00468]"
13708.0,"(0.00287, 0.00367]"
3250.0,"(0.00287, 0.00367]"
1419.0,"(-0.001, 0.000309]"
5516.0,"(0.00367, 0.00468]"
1000.0,"(0.00649, 0.04]"
8600.0,"(0.00367, 0.00468]"
7300.0,"(0.000309, 0.00134]"
12600.0,"(0.000309, 0.00134]"
9000.0,"(-0.001, 0.000309]"
4500.0,"(-0.001, 0.000309]"
2300.0,"(0.00468, 0.00649]"
3175.0,"(0.000309, 0.00134]"
7900.0,"(0.00367, 0.00468]"
2600.0,"(0.00649, 0.04]"
5200.0,"(0.00287, 0.00367]"
4587.0,"(-0.001, 0.000309]"
2700.0,"(0.00649, 0.04]"
2916.0,"(0.000309, 0.00134]"
6800.0,"(0.000309, 0.00134]"
34600.0,"(0.00134, 0.00214]"
13500.0,"(0.00468, 0.00649]"
3600.0,"(-0.001, 0.000309]"
8166.0,"(0.00468, 0.00649]"
5353.0,"(-0.001, 0.000309]"
500.0,"(0.00649, 0.04]"
4200.0,"(0.04, 12.67]"
8333.0,"(0.00287, 0.00367]"
2083.0,"(0.00649, 0.04]"
11333.0,"(0.00367, 0.00468]"
5948.0,"(0.00214, 0.00287]"
13334.0,"(0.00134, 0.00214]"
7823.0,"(0.00468, 0.00649]"
4941.0,"(0.00134, 0.00214]"
16350.0,"(0.00214, 0.00287]"
4500.0,"(0.00367, 0.00468]"
10416.0,"(0.00367, 0.00468]"
4800.0,"(0.00287, 0.00367]"
4000.0,"(0.00468, 0.00649]"
8167.0,"(0.00468, 0.00649]"
73200.0,"(0.000309, 0.00134]"
1600.0,"(0.000309, 0.00134]"
5500.0,"(0.00468, 0.00649]"
6000.0,"(0.000309, 0.00134]"
9680.0,"(0.00367, 0.00468]"
4854.0,"(0.00367, 0.00468]"
11186.0,"(0.00468, 0.00649]"
7200.0,"(0.00134, 0.00214]"
8666.0,"(0.00367, 0.00468]"
5307.0,"(-0.001, 0.000309]"
4700.0,"(-0.001, 0.000309]"
6833.0,"(0.00287, 0.00367]"
3678.0,"(0.00468, 0.00649]"
1583.0,"(-0.001, 0.000309]"
6916.0,"(0.00134, 0.00214]"
13000.0,"(0.000309, 0.00134]"
5500.0,"(0.00649, 0.04]"
6666.0,"(0.00287, 0.00367]"
3878.0,"(0.00468, 0.00649]"
8490.0,"(-0.001, 0.000309]"
13000.0,"(-0.001, 0.000309]"
6250.0,"(0.00649, 0.04]"
12400.0,"(0.00214, 0.00287]"
3700.0,"(0.00134, 0.00214]"
3789.0,"(0.00287, 0.00367]"
6866.0,"(0.00214, 0.00287]"
4166.0,"(0.00134, 0.00214]"
4266.0,"(-0.001, 0.000309]"
7518.0,"(0.00287, 0.00367]"
5548.0,"(0.00649, 0.04]"
10762.0,"(0.00287, 0.00367]"
3200.0,"(0.00468, 0.00649]"
4100.0,"(0.00367, 0.00468]"
4251.0,"(0.00649, 0.04]"
5000.0,"(0.00468, 0.00649]"
5100.0,"(0.00468, 0.00649]"
1865.0,"(0.00649, 0.04]"
6000.0,"(-0.001, 0.000309]"
5000.0,"(0.00287, 0.00367]"
4833.0,"(0.00468, 0.00649]"
3700.0,"(0.00468, 0.00649]"
7275.0,"(0.000309, 0.00134]"
0.0,"(0.04, 12.67]"
6000.0,"(0.00134, 0.00214]"
9416.0,"(0.00287, 0.00367]"
0.0,"(0.04, 12.67]"
5900.0,"(-0.001, 0.000309]"
4000.0,"(0.00214, 0.00287]"
5500.0,"(0.00468, 0.00649]"
3000.0,"(0.000309, 0.00134]"
1071.0,"(0.00468, 0.00649]"
1100.0,"(0.00649, 0.04]"
2750.0,"(0.00134, 0.00214]"
1300.0,"(-0.001, 0.000309]"
5200.0,"(0.00367, 0.00468]"
9500.0,"(0.00367, 0.00468]"
10048.0,"(-0.001, 0.000309]"
7200.0,"(0.00214, 0.00287]"
5983.0,"(0.00287, 0.00367]"
1543.0,"(0.00214, 0.00287]"
5000.0,"(0.00214, 0.00287]"
8300.0,"(0.00649, 0.04]"
5800.0,"(0.00468, 0.00649]"
1800.0,"(0.000309, 0.00134]"
8000.0,"(0.04, 12.67]"
8000.0,"(0.00468, 0.00649]"
5900.0,"(0.00287, 0.00367]"
5463.0,"(0.000309, 0.00134]"
6418.0,"(-0.001, 0.000309]"
10000.0,"(0.00134, 0.00214]"
11000.0,"(0.000309, 0.00134]"
2096.0,"(0.00367, 0.00468]"
1760.0,"(0.00649, 0.04]"
6333.0,"(0.00367, 0.00468]"
2200.0,"(0.00287, 0.00367]"
2500.0,"(-0.001, 0.000309]"
8052.0,"(0.00134, 0.00214]"
7141.0,"(0.000309, 0.00134]"
12000.0,"(0.00367, 0.00468]"
2860.0,"(-0.001, 0.000309]"
1600.0,"(0.00214, 0.00287]"
9166.0,"(0.00367, 0.00468]"
6600.0,"(0.00468, 0.00649]"
11450.0,"(0.00468, 0.00649]"
1.0,"(12.67, 3296.64]"
5500.0,"(0.00214, 0.00287]"
6000.0,"(0.00367, 0.00468]"
11000.0,"(0.00214, 0.00287]"
796.0,"(0.00649, 0.04]"
4583.0,"(0.00367, 0.00468]"
3517.0,"(0.00468, 0.00649]"
1300.0,"(0.00649, 0.04]"
8605.0,"(0.00287, 0.00367]"
3100.0,"(0.00468, 0.00649]"
12500.0,"(0.000309, 0.00134]"
4000.0,"(-0.001, 0.000309]"
6008.0,"(0.00649, 0.04]"
10252.0,"(0.00134, 0.00214]"
4975.0,"(0.00287, 0.00367]"
5000.0,"(0.00287, 0.00367]"
4975.0,"(0.000309, 0.00134]"
4008.0,"(-0.001, 0.000309]"
4651.0,"(0.00214, 0.00287]"
2500.0,"(-0.001, 0.000309]"
15819.0,"(0.00287, 0.00367]"
1400.0,"(0.000309, 0.00134]"
4000.0,"(0.00214, 0.00287]"
5796.0,"(0.000309, 0.00134]"
3000.0,"(0.00367, 0.00468]"
5683.0,"(0.00649, 0.04]"
21500.0,"(0.00367, 0.00468]"
4992.0,"(0.00134, 0.00214]"
5000.0,"(0.00367, 0.00468]"
7500.0,"(0.00468, 0.00649]"
1166.0,"(-0.001, 0.000309]"
8100.0,"(0.00367, 0.00468]"
74872.0,"(-0.001, 0.000309]"
3127.0,"(0.00287, 0.00367]"
6736.0,"(0.00367, 0.00468]"
2200.0,"(0.00287, 0.00367]"
10960.0,"(0.00134, 0.00214]"
2000.0,"(0.00649, 0.04]"
4428.0,"(0.00468, 0.00649]"
8710.0,"(-0.001, 0.000309]"
3040.0,"(0.000309, 0.00134]"
11056.0,"(0.00214, 0.00287]"
5000.0,"(0.00468, 0.00649]"
8083.0,"(0.00468, 0.00649]"
5682.0,"(0.00134, 0.00214]"
1500.0,"(-0.001, 0.000309]"
6000.0,"(0.00367, 0.00468]"
9500.0,"(0.00468, 0.00649]"
9083.0,"(0.00649, 0.04]"
4583.0,"(0.00468, 0.00649]"
15433.0,"(0.00134, 0.00214]"
10133.0,"(0.000309, 0.00134]"
25000.0,"(0.00287, 0.00367]"
3020.0,"(0.00468, 0.00649]"
5950.0,"(0.00287, 0.00367]"
12304.0,"(0.00287, 0.00367]"
4617.0,"(0.00367, 0.00468]"
3166.0,"(0.00134, 0.00214]"
5833.0,"(0.000309, 0.00134]"
2730.0,"(0.00214, 0.00287]"
11667.0,"(0.00134, 0.00214]"
5833.0,"(0.00134, 0.00214]"
4228.0,"(0.00468, 0.00649]"
15933.0,"(0.000309, 0.00134]"
3355.0,"(0.00214, 0.00287]"
1.0,"(0.04, 12.67]"
4500.0,"(0.00214, 0.00287]"
5210.0,"(0.00134, 0.00214]"
11370.0,"(0.00134, 0.00214]"
1600.0,"(-0.001, 0.000309]"
9192.0,"(-0.001, 0.000309]"
2688.0,"(-0.001, 0.000309]"
500.0,"(0.000309, 0.00134]"
6250.0,"(0.00287, 0.00367]"
4307.0,"(0.000309, 0.00134]"
2000.0,"(0.00134, 0.00214]"
4000.0,"(0.00468, 0.00649]"
11560.0,"(0.00287, 0.00367]"
8400.0,"(0.00468, 0.00649]"
0.0,"(12.67, 3296.64]"
10000.0,"(0.00214, 0.00287]"
5534.0,"(0.00134, 0.00214]"
7740.0,"(0.00214, 0.00287]"
2233.0,"(-0.001, 0.000309]"
2299.0,"(0.00367, 0.00468]"
15416.0,"(0.00367, 0.00468]"
14000.0,"(0.00287, 0.00367]"
11666.0,"(0.00367, 0.00468]"
6645.0,"(0.00468, 0.00649]"
5251.0,"(0.00134, 0.00214]"
6450.0,"(0.00367, 0.00468]"
1800.0,"(0.000309, 0.00134]"
3770.0,"(0.00468, 0.00649]"
5000.0,"(0.00649, 0.04]"
2200.0,"(0.00649, 0.04]"
5200.0,"(0.000309, 0.00134]"
6571.0,"(0.00649, 0.04]"
6333.0,"(0.00367, 0.00468]"
3741.0,"(0.00367, 0.00468]"
16894.0,"(0.00134, 0.00214]"
4094.0,"(0.00468, 0.00649]"
11800.0,"(0.00468, 0.00649]"
3244.0,"(0.00649, 0.04]"
14500.0,"(0.00134, 0.00214]"
4700.0,"(-0.001, 0.000309]"
8544.0,"(0.00134, 0.00214]"
4810.0,"(0.00214, 0.00287]"
3827.0,"(0.00367, 0.00468]"
13351.0,"(0.00134, 0.00214]"
6294.0,"(0.00649, 0.04]"
9623.0,"(0.00287, 0.00367]"
10000.0,"(-0.001, 0.000309]"
4200.0,"(0.00649, 0.04]"
6000.0,"(0.00649, 0.04]"
12700.0,"(0.00287, 0.00367]"
4481.0,"(-0.001, 0.000309]"
2100.0,"(0.00214, 0.00287]"
2335.0,"(0.00468, 0.00649]"
4666.0,"(0.00287, 0.00367]"
6194.0,"(0.00649, 0.04]"
2500.0,"(0.000309, 0.00134]"
2716.0,"(-0.001, 0.000309]"
764.0,"(0.00649, 0.04]"
6321.0,"(0.00214, 0.00287]"
2080.0,"(0.00468, 0.00649]"
2000.0,"(0.00649, 0.04]"
2720.0,"(0.00468, 0.00649]"
10970.0,"(0.000309, 0.00134]"
8836.0,"(0.000309, 0.00134]"
10930.0,"(0.00649, 0.04]"
5000.0,"(0.00134, 0.00214]"
1200.0,"(0.00468, 0.00649]"
7150.0,"(0.00367, 0.00468]"
3515.0,"(0.00367, 0.00468]"
2736.0,"(0.00287, 0.00367]"
8900.0,"(0.00367, 0.00468]"
13750.0,"(0.00214, 0.00287]"
9773.0,"(0.000309, 0.00134]"
13788.0,"(0.000309, 0.00134]"
9000.0,"(0.00287, 0.00367]"
5000.0,"(0.00287, 0.00367]"
5633.0,"(0.00468, 0.00649]"
2987.0,"(0.00287, 0.00367]"
4500.0,"(0.00214, 0.00287]"
13333.0,"(0.00287, 0.00367]"
3968.0,"(0.000309, 0.00134]"
4500.0,"(0.00134, 0.00214]"
8323.0,"(0.00367, 0.00468]"
5000.0,"(0.000309, 0.00134]"
13000.0,"(0.00214, 0.00287]"
10750.0,"(0.000309, 0.00134]"
5700.0,"(0.00134, 0.00214]"
9331.0,"(0.00649, 0.04]"
5999.0,"(0.00287, 0.00367]"
5361.0,"(0.00287, 0.00367]"
4800.0,"(0.00649, 0.04]"
7000.0,"(-0.001, 0.000309]"
4000.0,"(0.000309, 0.00134]"
2680.0,"(0.00367, 0.00468]"
7500.0,"(0.00287, 0.00367]"
4000.0,"(0.00468, 0.00649]"
5747.0,"(0.00468, 0.00649]"
4841.0,"(0.00287, 0.00367]"
2666.0,"(0.00468, 0.00649]"
13750.0,"(0.00134, 0.00214]"
12083.0,"(0.00367, 0.00468]"
2500.0,"(0.00649, 0.04]"
333.0,"(0.04, 12.67]"
2000.0,"(-0.001, 0.000309]"
12500.0,"(0.00214, 0.00287]"
7700.0,"(-0.001, 0.000309]"
5000.0,"(0.00214, 0.00287]"
7700.0,"(0.00287, 0.00367]"
2851.0,"(0.00649, 0.04]"
10118.0,"(0.000309, 0.00134]"
3816.0,"(0.00649, 0.04]"
20833.0,"(0.000309, 0.00134]"
3000.0,"(0.00134, 0.00214]"
3000.0,"(0.000309, 0.00134]"
5700.0,"(0.00134, 0.00214]"
4230.0,"(0.00214, 0.00287]"
3666.0,"(0.00134, 0.00214]"
2631.0,"(0.00649, 0.04]"
9500.0,"(-0.001, 0.000309]"
5000.0,"(0.00468, 0.00649]"
4100.0,"(-0.001, 0.000309]"
6500.0,"(0.00214, 0.00287]"
5615.0,"(0.000309, 0.00134]"
0.0,"(0.04, 12.67]"
3607.0,"(0.000309, 0.00134]"
5355.0,"(0.00287, 0.00367]"
7200.0,"(0.00134, 0.00214]"
16000.0,"(0.00468, 0.00649]"
2400.0,"(0.00214, 0.00287]"
8000.0,"(-0.001, 0.000309]"
2469.0,"(0.00367, 0.00468]"
3160.0,"(0.00649, 0.04]"
2075.0,"(0.00649, 0.04]"
10100.0,"(0.00214, 0.00287]"
3000.0,"(0.00214, 0.00287]"
10034.0,"(0.00287, 0.00367]"
8333.0,"(0.00214, 0.00287]"
10000.0,"(0.000309, 0.00134]"
7625.0,"(0.00367, 0.00468]"
7050.0,"(0.000309, 0.00134]"
3000.0,"(0.000309, 0.00134]"
15000.0,"(0.000309, 0.00134]"
3007.0,"(-0.001, 0.000309]"
4358.0,"(0.00649, 0.04]"
4700.0,"(0.00468, 0.00649]"
6793.0,"(0.00649, 0.04]"
2175.0,"(-0.001, 0.000309]"
3839.0,"(0.00134, 0.00214]"
12272.0,"(0.00214, 0.00287]"
5833.0,"(0.00287, 0.00367]"
955.0,"(0.00649, 0.04]"
2907.0,"(0.000309, 0.00134]"
5500.0,"(0.00134, 0.00214]"
120000.0,"(-0.001, 0.000309]"
12247.0,"(0.00367, 0.00468]"
4000.0,"(-0.001, 0.000309]"
2859.0,"(0.00287, 0.00367]"
9266.0,"(0.00214, 0.00287]"
12150.0,"(0.00468, 0.00649]"
5833.0,"(0.00468, 0.00649]"
2557.0,"(0.000309, 0.00134]"
7357.0,"(-0.001, 0.000309]"
764.0,"(0.00649, 0.04]"
2916.0,"(0.00649, 0.04]"
10890.0,"(0.00468, 0.00649]"
10768.0,"(0.00214, 0.00287]"
15366.0,"(0.00134, 0.00214]"
1275.0,"(0.00649, 0.04]"
6000.0,"(-0.001, 0.000309]"
5500.0,"(0.00214, 0.00287]"
4120.0,"(0.00649, 0.04]"
5500.0,"(0.00214, 0.00287]"
7899.0,"(0.00367, 0.00468]"
4480.0,"(0.00468, 0.00649]"
8200.0,"(0.00287, 0.00367]"
4300.0,"(0.00468, 0.00649]"
6000.0,"(-0.001, 0.000309]"
3180.0,"(0.00134, 0.00214]"
1561.0,"(-0.001, 0.000309]"
15000.0,"(0.000309, 0.00134]"
5000.0,"(-0.001, 0.000309]"
4500.0,"(0.00367, 0.00468]"
4743.0,"(0.00134, 0.00214]"
3700.0,"(0.000309, 0.00134]"
6172.0,"(0.00649, 0.04]"
4250.0,"(0.00367, 0.00468]"
2400.0,"(0.00287, 0.00367]"
3976.0,"(0.00649, 0.04]"
3694.0,"(0.00468, 0.00649]"
4200.0,"(0.00649, 0.04]"
2270.0,"(0.00468, 0.00649]"
9500.0,"(-0.001, 0.000309]"
4209.0,"(0.00367, 0.00468]"
6600.0,"(0.00468, 0.00649]"
8583.0,"(0.00468, 0.00649]"
3233.0,"(0.00287, 0.00367]"
6496.0,"(0.00214, 0.00287]"
3824.0,"(0.00649, 0.04]"
10542.0,"(0.00134, 0.00214]"
3645.0,"(0.00367, 0.00468]"
4000.0,"(0.00468, 0.00649]"
3000.0,"(0.00649, 0.04]"
4583.0,"(0.00287, 0.00367]"
10832.0,"(0.00468, 0.00649]"
5150.0,"(0.00214, 0.00287]"
3000.0,"(0.00367, 0.00468]"
0.0,"(0.04, 12.67]"
8166.0,"(0.000309, 0.00134]"
20000.0,"(0.00468, 0.00649]"
11226.0,"(0.00367, 0.00468]"
7000.0,"(0.000309, 0.00134]"
5666.0,"(0.00649, 0.04]"
5500.0,"(0.00214, 0.00287]"
3944.0,"(0.000309, 0.00134]"
11617.0,"(0.00134, 0.00214]"
8357.0,"(0.00468, 0.00649]"
3076.0,"(0.00287, 0.00367]"
11000.0,"(0.00367, 0.00468]"
9916.0,"(-0.001, 0.000309]"
17500.0,"(0.00134, 0.00214]"
8400.0,"(0.000309, 0.00134]"
10500.0,"(-0.001, 0.000309]"
3100.0,"(0.00287, 0.00367]"
12159.0,"(0.00214, 0.00287]"
6347.0,"(0.00134, 0.00214]"
1250.0,"(0.00649, 0.04]"
9166.0,"(0.00367, 0.00468]"
6578.0,"(0.00287, 0.00367]"
8384.0,"(-0.001, 0.000309]"
5000.0,"(0.00649, 0.04]"
5916.0,"(0.00367, 0.00468]"
1500.0,"(0.00134, 0.00214]"
5420.0,"(0.00367, 0.00468]"
8945.0,"(0.00214, 0.00287]"
2250.0,"(0.000309, 0.00134]"
9558.0,"(-0.001, 0.000309]"
6500.0,"(0.00367, 0.00468]"
10489.0,"(0.00214, 0.00287]"
6893.0,"(0.00287, 0.00367]"
9050.0,"(0.00367, 0.00468]"
1827.0,"(0.00134, 0.00214]"
5900.0,"(0.00134, 0.00214]"
742.0,"(0.00214, 0.00287]"
4200.0,"(0.00214, 0.00287]"
4516.0,"(0.00468, 0.00649]"
8000.0,"(0.000309, 0.00134]"
18750.0,"(0.00214, 0.00287]"
3200.0,"(-0.001, 0.000309]"
6767.0,"(0.00214, 0.00287]"
5000.0,"(0.00134, 0.00214]"
5100.0,"(0.00468, 0.00649]"
14333.0,"(0.00649, 0.04]"
6292.0,"(0.00468, 0.00649]"
7833.0,"(-0.001, 0.000309]"
0.0,"(0.04, 12.67]"
666.0,"(0.00649, 0.04]"
12685.0,"(0.000309, 0.00134]"
16100.0,"(0.00287, 0.00367]"
13749.0,"(0.00287, 0.00367]"
500.0,"(0.00649, 0.04]"
10500.0,"(0.00134, 0.00214]"
15000.0,"(-0.001, 0.000309]"
10833.0,"(0.00649, 0.04]"
5000.0,"(0.00468, 0.00649]"
4000.0,"(0.000309, 0.00134]"
7833.0,"(0.00367, 0.00468]"
7499.0,"(0.00287, 0.00367]"
6083.0,"(-0.001, 0.000309]"
13329.0,"(0.00214, 0.00287]"
3000.0,"(0.000309, 0.00134]"
3553.0,"(0.00214, 0.00287]"
10000.0,"(0.00214, 0.00287]"
2800.0,"(-0.001, 0.000309]"
5616.0,"(-0.001, 0.000309]"
2900.0,"(-0.001, 0.000309]"
6200.0,"(-0.001, 0.000309]"
10000.0,"(-0.001, 0.000309]"
3327.0,"(-0.001, 0.000309]"
7000.0,"(0.00367, 0.00468]"
13544.0,"(0.00367, 0.00468]"
5000.0,"(0.00468, 0.00649]"
10833.0,"(0.00134, 0.00214]"
1750.0,"(0.00367, 0.00468]"
5812.0,"(0.000309, 0.00134]"
2331.0,"(0.00649, 0.04]"
2000.0,"(-0.001, 0.000309]"
7000.0,"(0.00367, 0.00468]"
3500.0,"(0.00468, 0.00649]"
10111.0,"(0.00468, 0.00649]"
6250.0,"(0.00287, 0.00367]"
6666.0,"(0.00134, 0.00214]"
14000.0,"(0.00287, 0.00367]"
2000.0,"(0.000309, 0.00134]"
3600.0,"(0.00214, 0.00287]"
8000.0,"(-0.001, 0.000309]"
6748.0,"(0.00367, 0.00468]"
15000.0,"(0.000309, 0.00134]"
17365.0,"(0.00468, 0.00649]"
22212.0,"(0.00287, 0.00367]"
20000.0,"(0.00134, 0.00214]"
5108.0,"(0.00287, 0.00367]"
5888.0,"(0.00287, 0.00367]"
16550.0,"(0.00468, 0.00649]"
6900.0,"(0.00468, 0.00649]"
4000.0,"(0.00134, 0.00214]"
6400.0,"(0.00468, 0.00649]"
4200.0,"(0.00468, 0.00649]"
7600.0,"(0.00367, 0.00468]"
1192.0,"(0.00649, 0.04]"
5420.0,"(-0.001, 0.000309]"
2900.0,"(0.000309, 0.00134]"
4800.0,"(0.00367, 0.00468]"
30000.0,"(0.00134, 0.00214]"
5160.0,"(0.000309, 0.00134]"
3000.0,"(0.000309, 0.00134]"
0.0,"(0.04, 12.67]"
6018.0,"(0.00134, 0.00214]"
4400.0,"(0.00367, 0.00468]"
10000.0,"(0.00367, 0.00468]"
4458.0,"(-0.001, 0.000309]"
6437.0,"(0.00287, 0.00367]"
8333.0,"(0.00214, 0.00287]"
2461.0,"(0.000309, 0.00134]"
5200.0,"(0.00468, 0.00649]"
10639.0,"(0.00287, 0.00367]"
5666.0,"(0.00649, 0.04]"
10000.0,"(0.00367, 0.00468]"
2800.0,"(0.00468, 0.00649]"
5400.0,"(0.00214, 0.00287]"
4983.0,"(0.00367, 0.00468]"
3400.0,"(0.00649, 0.04]"
10290.0,"(0.00214, 0.00287]"
3241.0,"(0.00468, 0.00649]"
2400.0,"(-0.001, 0.000309]"
12944.0,"(0.00214, 0.00287]"
1400.0,"(0.000309, 0.00134]"
3600.0,"(0.000309, 0.00134]"
3375.0,"(0.00649, 0.04]"
17750.0,"(0.000309, 0.00134]"
2400.0,"(0.00649, 0.04]"
8000.0,"(0.00287, 0.00367]"
3450.0,"(-0.001, 0.000309]"
11150.0,"(0.00649, 0.04]"
5551.0,"(0.00287, 0.00367]"
3751.0,"(0.00287, 0.00367]"
7728.0,"(-0.001, 0.000309]"
5140.0,"(0.00134, 0.00214]"
4500.0,"(0.00134, 0.00214]"
6315.0,"(-0.001, 0.000309]"
10500.0,"(0.00287, 0.00367]"
13000.0,"(0.000309, 0.00134]"
5414.0,"(0.00468, 0.00649]"
7000.0,"(0.00134, 0.00214]"
7700.0,"(0.000309, 0.00134]"
11250.0,"(-0.001, 0.000309]"
1106.0,"(0.00649, 0.04]"
5139.0,"(0.00468, 0.00649]"
3274.0,"(0.00468, 0.00649]"
9000.0,"(0.00287, 0.00367]"
5900.0,"(0.00134, 0.00214]"
6900.0,"(0.00134, 0.00214]"
9416.0,"(0.00134, 0.00214]"
8500.0,"(0.00287, 0.00367]"
8083.0,"(0.000309, 0.00134]"
4800.0,"(0.00367, 0.00468]"
8500.0,"(0.00287, 0.00367]"
4666.0,"(0.00214, 0.00287]"
6339.0,"(0.00468, 0.00649]"
1700.0,"(0.00287, 0.00367]"
4333.0,"(0.00649, 0.04]"
20625.0,"(0.00367, 0.00468]"
6000.0,"(0.00214, 0.00287]"
4000.0,"(0.000309, 0.00134]"
6400.0,"(0.00287, 0.00367]"
4920.0,"(0.00468, 0.00649]"
1600.0,"(0.00214, 0.00287]"
